                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4216,                 3.5296,                 1.8619,                0.68924,                0.73868,                0.78202,                0.48488,                 1.6184,                 2.9789,                 1.2513,             0.00023205,             0.00023205,             0.00023205
                      2,                 1.1496,                0.80095,                 1.0111,                0.90167,                0.91289,                 0.9598,                0.56182,                 1.5979,                0.89462,                 1.0945,             0.00046772,             0.00046772,             0.00046772
                      3,                 1.0485,                0.67917,                0.96805,                0.92127,                0.93083,                0.97567,                0.67377,                 1.0857,                0.76193,                 1.0008,             0.00070104,             0.00070104,             0.00070104
                      4,                 1.0238,                 0.6358,                0.95585,                0.95329,                0.96755,                0.98838,                0.73695,                0.96968,                0.59423,                0.91946,              0.0007034,              0.0007034,              0.0007034
                      5,                0.99436,                0.60564,                0.95295,                0.97959,                0.98548,                0.99382,                0.75599,                0.92562,                0.55992,                0.92673,             0.00069986,             0.00069986,             0.00069986
                      6,                 0.9574,                0.56253,                 0.9445,                0.98923,                0.98634,                0.99429,                0.76287,                0.91095,                0.49703,                 0.8976,             0.00069633,             0.00069633,             0.00069633
                      7,                0.91673,                0.53877,                0.92849,                0.99314,                0.98972,                0.99482,                0.75276,                0.90593,                0.52953,                0.89755,             0.00069279,             0.00069279,             0.00069279
                      8,                0.91233,                 0.5332,                0.93214,                0.99208,                0.99146,                0.99477,                0.79635,                0.83605,                0.47027,                0.88871,             0.00068926,             0.00068926,             0.00068926
                      9,                0.88457,                0.51455,                0.91913,                0.98556,                0.99064,                0.99433,                0.79044,                0.83854,                0.48592,                0.89168,             0.00068573,             0.00068573,             0.00068573
                     10,                0.88826,                0.50891,                0.92018,                0.97936,                0.98548,                0.99286,                0.76009,                0.84948,                0.50118,                0.89994,             0.00068219,             0.00068219,             0.00068219
