                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2438,                  3.535,                 1.7401,                0.00965,                0.84543,                0.49662,                0.27202,                 1.2997,                 4.0886,                 1.0446,             0.00023205,             0.00023205,             0.00023205
                      2,                 1.1505,                 1.5654,                0.98652,                0.97882,                0.86821,                0.97286,                0.63335,                 1.1657,                 2.5653,                0.95966,             0.00046772,             0.00046772,             0.00046772
                      3,                 1.0595,                  1.246,                  0.957,                0.97385,                0.95401,                0.99047,                0.70549,                 1.0528,                 1.2666,                0.92136,             0.00070104,             0.00070104,             0.00070104
                      4,                 1.0435,                   1.02,                0.95276,                0.97996,                0.97523,                0.99324,                0.73309,                0.94258,                0.93325,                0.89541,              0.0007034,              0.0007034,              0.0007034
                      5,                0.97777,                0.87174,                0.94072,                  0.944,                0.91973,                0.98198,                0.73187,                0.93439,                0.82632,                  0.919,             0.00069986,             0.00069986,             0.00069986
                      6,                0.95494,                0.77427,                 0.9363,                0.98877,                0.98634,                 0.9946,                0.76576,                0.85891,                0.68147,                0.89491,             0.00069633,             0.00069633,             0.00069633
                      7,                0.91927,                0.68817,                0.92383,                0.98904,                 0.9889,                0.99465,                0.76457,                0.88314,                0.65037,                0.88149,             0.00069279,             0.00069279,             0.00069279
                      8,                0.91445,                0.64393,                0.92821,                0.98055,                0.99037,                0.99332,                0.76208,                0.88936,                0.61915,                0.88223,             0.00068926,             0.00068926,             0.00068926
                      9,                0.89438,                0.60284,                0.91898,                0.98085,                0.99317,                0.99404,                0.77917,                0.84839,                0.52514,                0.88085,             0.00068573,             0.00068573,             0.00068573
                     10,                0.88092,                0.57341,                0.91158,                0.98641,                0.99196,                0.99449,                0.77806,                 0.8116,                 0.5611,                0.88549,             0.00068219,             0.00068219,             0.00068219
